model,broll_lik,broll_cal,colas_lik,colas_cal,dubosson_lik,dubosson_cal,hall_lik,hall_cal,weinstock_lik,weinstock_cal
Gluformer,-2.11,0.05,-1.07,0.14,-2.15,0.06,-1.56,0.05,-2.5,0.08
TFT,,0.16,,0.07,,0.23,,0.07,,0.07
Ours (NFE=1),3.15718438029449,0.048923316587409234,46.57604566458316,0.09079048528589802,6.571351838593854,0.08762448690561564,27.58146587510626,0.04899709828871038,64.47180228031978,0.07509550078788307
Ours (NFE=2),8.337731160222827,0.046110563473015204,49.34775808552441,0.09465201096283309,8.298674818454352,0.08478656456137686,19.3928298016497,0.04767233796295473,71.28167768025645,0.07595156378604982
Ours (NFE=4),8.133799876889782,0.04974618682388952,51.76225960954355,0.09899374127679188,9.028674568559472,0.08659466940641619,10.331238678581535,0.0474080611889221,73.64695532592988,0.07694678690609406
