model,nfe,nrmse,pearson_r,iauc_corr,auc_corr,latency_ms,use_photo,nrmse_definition,nrmse_meanabs,nrmse_rms,coverage_90,ece_iAUC,config_name
Baseline (JointCGMacros paper),,0.23,0.52,0.52,,,False,paper,,,,,
JointCGMacros,,0.22,0.59,0.59,,,False,paper,,,,,
XGBoost (meal -> AUC),,,,0.64,0.89,,False,scientific_data_reference,,,,,
Ours,1.0,0.14646012311662235,0.8281734989139808,0.8281734989139808,0.9195066519671963,0.0009533494056182746,True,rmse_over_range(y_true),0.5128460916081365,0.38322267617272326,0.5497785160575859,0.19413559739141134,p1_anchor_photo
Ours,2.0,0.14646012311662235,0.8281734989139808,0.8281734989139808,0.9195066519671963,0.0013281923950501412,True,rmse_over_range(y_true),0.5128460916081365,0.38322267617272326,0.4971207087486157,0.20739264181124645,p1_anchor_photo
Ours,4.0,0.14646012311662235,0.8281734989139808,0.8281734989139808,0.9195066519671963,0.0020314695674212213,True,rmse_over_range(y_true),0.5128460916081365,0.38322267617272326,0.4667220376522702,0.21561953980558632,p1_anchor_photo
